OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PUJIANG 2 (PJ-2),2022-031B,2026-06-28T14:58:27.210720,14.94330864,.00120618,97.8617,5.1781,157.2226,202.9531,0,U,52151,999,23150,.10633824E-4,.56E-6,0
TIANPING 2A,2022-032A,2026-06-28T15:23:42.755712,14.97234112,.00113879,97.5847,217.0173,135.4105,224.8036,0,U,52153,999,23155,.15158339E-3,.17E-4,0
TIANPING 2B,2022-032C,2026-06-28T14:57:57.643776,15.01678603,.00237326,97.5794,224.6186,125.7997,234.5438,0,U,52155,999,23199,.16899616E-3,.2149E-4,0
TIANPING 2C,2022-032D,2026-06-28T14:34:00.043680,15.11334546,.00080659,97.5832,231.8667,113.1162,247.0919,0,U,52156,999,23257,.40120208E-3,.6704E-4,0
OMNI-L1,2022-033A,2026-06-28T04:17:07.246176,14.82787392,.00040146,97.8397,258.1424,239.4797,120.6021,0,U,52157,999,22908,.24700391E-3,.1945E-4,0
GNOMES-3,2022-033B,2026-06-28T11:45:21.439008,14.85123116,.00093864,97.8231,255.5965,288.1492,71.8700,0,U,52158,999,22901,.2202712E-3,.1832E-4,0
ENMAP,2022-033C,2026-06-28T06:58:55.273728,14.74996013,.00014252,97.9797,261.3835,86.9443,273.1929,0,U,52159,999,22829,.29558378E-4,.149E-5,0
ARCSAT-1,2022-033E,2026-06-28T12:35:54.085920,15.53884064,.0005853,97.2761,271.9674,143.6069,216.5583,0,U,52161,999,23746,.18975653E-3,.12127E-3,0
NUSAT-26 (M SOMERVILLE),2022-033AD,2026-06-28T14:17:31.583616,15.42673871,.00057022,97.2351,258.5899,188.6024,171.5127,0,U,52184,999,10646,.56121186E-3,.24438E-3,0
GLOBAL-18,2022-034B,2026-06-28T11:59:41.904384,15.46658381,.00037357,52.9791,202.5574,332.1013,27.9791,0,U,52196,999,23871,.28648036E-3,.14121E-3,0
GAOFEN-3 03,2022-035A,2026-06-28T14:35:02.510880,14.42216420,.00015222,98.4059,188.0222,97.4850,262.6513,0,U,52200,999,22249,.23254056E-4,.33E-6,0
COSMOS 2554,2022-036A,2026-06-28T14:03:06.111360,13.96672600,.00053561,67.1462,200.9933,260.8205,99.2273,0,U,52202,999,21554,.22057717E-4,-.45E-6,0
ZHONGXING-6D,2022-038A,2026-06-27T21:15:48.538944,1.00273988,.00003068,0.0107,62.5109,131.4720,166.0122,0,U,52255,999,1553,0,-.342E-5,0
DAQI-1,2022-039A,2026-06-28T14:36:33.510816,14.57683234,.00027392,98.1482,118.2247,200.4732,159.6358,0,U,52257,999,22360,.2702859E-4,.78E-6,0
